entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,3,2,BUY,733.85,712.3170928571429,769.7381785714285,712.3170928571429,-21.532907142857084,-2.9342382152833797,sl,2024-03-28 01:00:00
5,10,5,BUY,708.77,733.0879107142856,733.0879107142856,694.1792535714286,24.31791071428563,3.4310016950894697,tp,2024-04-04 01:00:00
12,12,0,BUY,735.43,720.2087821428571,760.7986964285714,720.2087821428571,-15.221217857142847,-2.0697031474297822,sl,2024-04-15 01:00:00
14,16,2,BUY,723.0,705.5416392857143,752.0972678571428,705.5416392857143,-17.45836071428573,-2.4147110254890363,sl,2024-04-17 01:00:00
18,27,9,BUY,719.03,749.59,749.2897678571428,700.8741392857143,30.56000000000006,4.250170368413009,tp,2024-04-23 01:00:00
29,35,6,BUY,770.0,801.3655,801.3655,751.1807,31.365499999999997,4.073441558441558,tp,2024-05-08 01:00:00
37,46,9,BUY,795.25,827.41575,827.41575,775.95055,32.16575,4.044734360264068,tp,2024-05-20 01:00:00
48,56,8,BUY,830.91,865.0848928571429,865.0848928571429,810.4050642857143,34.174892857142936,4.112947594461847,tp,2024-06-05 01:00:00
58,59,1,BUY,871.31,851.0617785714285,905.0570357142857,851.0617785714285,-20.24822142857147,-2.3238825938611365,sl,2024-06-20 01:00:00
61,68,7,BUY,849.32,879.6434107142858,879.6434107142858,831.1259535714286,30.32341071428573,3.5703163371032978,tp,2024-06-25 01:00:00
70,72,2,BUY,883.85,863.9776035714285,916.9706607142857,863.9776035714285,-19.872396428571506,-2.248390159933417,sl,2024-07-09 01:00:00
74,82,8,BUY,846.86,824.2870892857143,884.4815178571429,824.2870892857143,-22.57291071428574,-2.6654831630122735,sl,2024-07-15 01:00:00
84,89,5,BUY,822.56,797.2211214285715,864.7914642857143,797.2211214285715,-25.338878571428495,-3.0804900033345284,sl,2024-07-29 01:00:00
91,97,6,BUY,824.11,872.87,871.6361071428572,795.5943357142858,48.75999999999999,5.916685879312227,tp,2024-08-07 01:00:00
99,109,10,BUY,870.59,878.57,919.8335000000001,841.0439,7.980000000000018,0.9166197636085893,time,2024-08-19 01:00:00
111,121,10,BUY,888.63,900.74,927.5744285714286,865.2633428571429,12.110000000000014,1.3627719073180078,time,2024-09-05 01:00:00
123,127,4,BUY,906.98,880.8984937142857,950.4491771428571,880.8984937142857,-26.08150628571434,-2.8756429343220735,sl,2024-09-23 01:00:00
129,139,10,BUY,885.25,894.61,928.3950714285714,859.3629571428571,9.360000000000014,1.0573284382942687,time,2024-10-01 01:00:00
141,151,10,BUY,891.555,874.18,930.6594642857143,868.0923214285714,-17.375,-1.9488421914520135,time,2024-10-17 01:00:00
153,156,3,BUY,881.34,909.5774464285714,909.5774464285714,864.3975321428571,28.23744642857139,3.203922031063084,tp,2024-11-04 01:00:00
158,162,4,BUY,943.8,917.74,981.5838928571428,921.1296642857143,-26.059999999999945,-2.7611782157236644,sl,2024-11-11 01:00:00
164,167,3,BUY,928.0,969.8647857142857,969.8647857142857,902.8811285714286,41.864785714285745,4.5112915640394124,tp,2024-11-19 01:00:00
169,179,10,BUY,964.0,994.69,1015.8199999999999,932.908,30.690000000000055,3.1836099585062296,time,2024-11-26 01:00:00
181,185,4,BUY,981.0,958.9409678571428,1017.7650535714286,958.9409678571428,-22.059032142857177,-2.2486271297509868,sl,2024-12-13 01:00:00
187,191,4,BUY,953.88,927.1054714285715,998.5042142857143,927.1054714285715,-26.774528571428505,-2.8069074277087793,sl,2024-12-23 01:00:00
193,203,10,BUY,915.0,943.19,962.7509285714286,886.3494428571429,28.190000000000055,3.0808743169398967,time,2025-01-02 01:00:00
205,213,8,BUY,951.225,993.3432857142858,993.3432857142858,925.9540285714286,42.118285714285776,4.427794235253045,tp,2025-01-22 01:00:00
215,221,6,BUY,1020.0,1067.1539464285713,1067.1539464285713,991.7076321428572,47.15394642857132,4.622935924369737,tp,2025-02-05 01:00:00
223,225,2,BUY,1069.21,1040.5121607142858,1117.0397321428572,1040.5121607142858,-28.69783928571428,-2.684022716371366,sl,2025-02-18 01:00:00
227,236,9,BUY,1028.54,995.15,1078.8980357142857,998.3251785714285,-33.389999999999986,-3.2463491940031486,sl,2025-02-24 01:00:00
238,240,2,BUY,931.0,889.8332392857143,999.6112678571429,889.8332392857143,-41.166760714285715,-4.421778809268068,sl,2025-03-11 01:00:00
242,252,10,BUY,901.63,977.3064821428571,977.3064821428571,856.2241107142856,75.67648214285714,8.393296822738499,tp,2025-03-17 01:00:00
254,256,2,BUY,950.84,915.5681428571429,1009.6264285714286,915.5681428571429,-35.27185714285713,-3.7095470471222423,sl,2025-04-02 01:00:00
258,268,10,BUY,932.05,975.84,1005.5118035714286,887.9729178571429,43.79000000000008,4.698245802263836,time,2025-04-08 01:00:00
270,280,10,BUY,973.97,1008.09,1069.0792142857144,916.9044714285715,34.120000000000005,3.5031879832027686,time,2025-04-25 01:00:00
282,284,2,BUY,1013.715,985.5080785714285,1060.7265357142858,985.5080785714285,-28.20692142857149,-2.782529747371943,sl,2025-05-13 01:00:00
286,296,10,BUY,1018.6,1055.59,1069.1521071428572,988.2687357142858,36.989999999999895,3.631454938150392,time,2025-05-19 01:00:00
298,298,0,BUY,1050.0,1021.4082321428572,1097.6529464285713,1021.4082321428572,-28.591767857142827,-2.723025510204079,sl,2025-06-05 01:00:00
300,305,5,BUY,1012.42,983.0313035714286,1061.4011607142857,983.0313035714286,-29.388696428571393,-2.902816659940676,sl,2025-06-09 01:00:00
307,317,10,BUY,980.0,987.02,1029.8964107142856,950.0621535714286,7.019999999999982,0.716326530612243,time,2025-06-18 01:00:00
319,322,3,BUY,989.5,967.4810594285714,1026.1982342857143,967.4810594285714,-22.01894057142863,-2.2252592795784363,sl,2025-07-08 01:00:00
324,325,1,BUY,979.25,957.8845022857142,1014.8591628571429,957.8845022857142,-21.365497714285766,-2.181822590174702,sl,2025-07-15 01:00:00
327,330,3,BUY,959.95,938.9087058571429,995.0188235714286,938.9087058571429,-21.04129414285717,-2.19191563548697,sl,2025-07-18 01:00:00
332,340,8,BUY,936.3,969.8548214285714,969.8548214285714,916.167107142857,33.55482142857147,3.5837681756457838,tp,2025-07-25 01:00:00
342,352,10,BUY,977.15,955.497425,1013.237625,955.497425,-21.652574999999956,-2.215890600214906,sl,2025-08-08 01:00:00
354,364,10,BUY,941.34,956.29,982.9966428571429,916.3460142857143,14.949999999999932,1.5881615569294762,time,2025-08-26 01:00:00
366,372,6,BUY,960.29,939.6857749999999,994.630375,939.6857749999999,-20.604225000000042,-2.145625279863379,sl,2025-09-12 01:00:00
374,376,2,BUY,944.275,924.8107107142857,976.7154821428571,924.8107107142857,-19.464289285714244,-2.0612945683952497,sl,2025-09-24 01:00:00
378,388,10,BUY,916.25,946.51,953.3754821428571,893.9747107142857,30.25999999999999,3.3025920873124135,time,2025-09-30 01:00:00
390,390,0,BUY,955.54,932.0870607142857,994.6282321428571,932.0870607142857,-23.45293928571425,-2.454417322740466,sl,2025-10-16 01:00:00
392,399,7,BUY,936.185,912.9731857142856,974.871357142857,912.9731857142856,-23.211814285714354,-2.4794046353780885,sl,2025-10-20 01:00:00
